Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
30 Jun 2020 ; Reebok Hybrid FX Rate £1 = €1.0958 ; 5.48 ;  ;  EUR 6.00 ;  ; 146.05; Health; 
30 Jun 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 151.53; Shopping; 
30 Jun 2020 ; Amazon FX Rate £1 = €1.0989 ; 30.85 ;  ;  EUR 33.90 ;  ; 159.52; Shopping; 
29 Jun 2020 ; Experian Ltd  ; 14.99 ;  ;  ;  ; 190.37; General; 
28 Jun 2020 ; E.s. Estepona campsa FX Rate £1 = €1.1044 ; 45.30 ;  ;  EUR 50.03 ;  ; 205.36; Transport; 
26 Jun 2020 ; sanebox Inc. FX Rate £1 = $1.2409 ; 5.65 ;  ;  USD 7.00 ;  ; 250.66; Services; 
25 Jun 2020 ; Itunes  ; 2.49 ;  ;  ;  ; 256.31; Shopping; 
25 Jun 2020 ; Reebok Hybrid FX Rate £1 = €1.1030 ; 5.44 ;  ;  EUR 6.00 ;  ; 258.80; Health; 
25 Jun 2020 ; Gpv Benahavis FX Rate £1 = €1.1032 ; 9.79 ;  ;  EUR 10.80 ;  ; 264.24; Transport; 
24 Jun 2020 ; Gym junkie FX Rate £1 = €1.1056 ; 5.43 ;  ;  EUR 6.00 ;  ; 274.03; Restaurants; 
24 Jun 2020 ; Sonora Dreams FX Rate £1 = €1.1064 ; 112.97 ;  ;  EUR 125.00 ;  ; 279.46; Restaurants; 
23 Jun 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 392.43; General; 
23 Jun 2020 ; Reebok Hybrid FX Rate £1 = €1.1071 ; 5.42 ;  ;  EUR 6.00 ;  ; 192.43; Health; 
23 Jun 2020 ; Amazon FX Rate £1 = €1.0986 ; 43.68 ;  ;  EUR 47.98 ;  ; 197.85; Shopping; 
22 Jun 2020 ; El Corte Ingles FX Rate £1 = €1.0986 ; 12.93 ;  ;  EUR 14.20 ;  ; 241.53; Groceries; 
22 Jun 2020 ; Itunes  ; 13.99 ;  ;  ;  ; 254.46; Shopping; 
22 Jun 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 268.45; Shopping; 
22 Jun 2020 ; Amazon FX Rate £1 = €1.0986 ; 111.56 ;  ;  EUR 122.56 ;  ; 278.44; Shopping; 
22 Jun 2020 ; Gpv Benahavis FX Rate £1 = €1.0986 ; 16.66 ;  ;  EUR 18.30 ;  ; 390.00; Transport; 
21 Jun 2020 ; Amazon FX Rate £1 = €1.1161 ; 19.32 ;  ;  EUR 21.56 ;  ; 406.66; Shopping; 
19 Jun 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 425.98; Shopping; 
19 Jun 2020 ; Amazon FX Rate £1 = €1.1099 ; 26.94 ;  ;  EUR 29.90 ;  ; 426.77; Shopping; 
18 Jun 2020 ; Top-Up by *8018  ;  ; 400.00 ;  ;  ; 453.71; General; 
17 Jun 2020 ; Amazon FX Rate £1 = €1.1144 ; 17.04 ;  ;  EUR 18.99 ;  ; 53.71; Shopping; 
16 Jun 2020 ; Reebok Hybrid FX Rate £1 = €1.1134 ; 5.39 ;  ;  EUR 6.00 ;  ; 70.75; Health; 
16 Jun 2020 ; Gpv Benahavis FX Rate £1 = €1.1136 ; 10.60 ;  ;  EUR 11.80 ;  ; 76.14; Transport; 
15 Jun 2020 ; El Brasero de Don Pedro FX Rate £1 = €1.1069 ; 54.21 ;  ;  EUR 60.00 ;  ; 86.74; Restaurants; 
14 Jun 2020 ; Gpv Benahavis FX Rate £1 = €1.1139 ; 26.94 ;  ;  EUR 30.00 ;  ; 140.95; Transport; 
11 Jun 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 167.89; Shopping; 
11 Jun 2020 ; Triay Medic FX Rate £1 = €1.1218 ; 35.66 ;  ;  EUR 40.00 ;  ; 177.88; Health; 
11 Jun 2020 ; Itunes  ; 4.99 ;  ;  ;  ; 213.54; Shopping; 
11 Jun 2020 ; Rocio De Salud FX Rate £1 = €1.1230 ; 19.91 ;  ;  EUR 22.36 ;  ; 218.53; Health; 
9 Jun 2020 ; Amazon Prime  ; 7.99 ;  ;  ;  ; 238.44; Shopping; 
8 Jun 2020 ; SYLT Marbella FX Rate £1 = €1.1162 ; 39.42 ;  ;  EUR 44.00 ;  ; 246.43; Restaurants; 
8 Jun 2020 ; Amazon FX Rate £1 = €1.1160 ; 35.88 ;  ;  EUR 40.04 ;  ; 285.85; Shopping; 
8 Jun 2020 ; Amzn Mktp Es Amazon.es FX Rate £1 = €1.1159 ; 53.76 ;  ;  EUR 59.99 ;  ; 321.73; Shopping; 
8 Jun 2020 ; Amazon FX Rate £1 = €1.1222 ; 27.81 ;  ;  EUR 31.20 ;  ; 375.49; Shopping; 
8 Jun 2020 ; Amazon FX Rate £1 = €1.1159 ; 26.80 ;  ;  EUR 29.90 ;  ; 403.30; Shopping; 
7 Jun 2020 ; Amazon FX Rate £1 = €1.1192 ; 32.17 ;  ;  EUR 36.00 ;  ; 430.10; Shopping; 
7 Jun 2020 ; Itunes  ; 5.99 ;  ;  ;  ; 462.27; Shopping; 
5 Jun 2020 ; Top-Up by *8018  ;  ; 400.00 ;  ;  ; 468.26; General; 
4 Jun 2020 ; Exchange GBP to  FX Rate £1 = €1.1177 ; 53.68 ;  ;  GBP 53.68 ;  ; 68.26; General; 
2 Jun 2020 ; Reebok Hybrid FX Rate £1 = €1.1147 ; 5.39 ;  ;  EUR 6.00 ;  ; 121.94; Health; 
1 Jun 2020 ; Mini India Diana - Indian Restaurant Diana FX Rate £1 = €1.1060 ; 43.76 ;  ;  EUR 48.40 ;  ; 127.33; Restaurants; 
31 May 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 171.09; Shopping; 
29 May 2020 ; Mini India FX Rate £1 = €1.1123 ; 26.88 ;  ;  EUR 29.90 ;  ; 179.08; Restaurants; 
27 May 2020 ; Experian Ltd  ; 14.99 ;  ;  ;  ; 205.96; General; 
27 May 2020 ; Three  ; 20.00 ;  ;  ;  ; 220.95; Services; 
26 May 2020 ; Itunes  ; 15.50 ;  ;  ;  ; 240.95; Shopping; 
26 May 2020 ; Itunes  ; 2.49 ;  ;  ;  ; 256.45; Shopping; 
22 May 2020 ; Amazon FX Rate £1 = €1.1222 ; 11.70 ;  ;  EUR 13.12 ;  ; 258.94; Shopping; 
19 May 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 270.64; Shopping; 
19 May 2020 ; Amazon FX Rate £1 = €1.1116 ; 21.43 ;  ;  EUR 23.82 ;  ; 271.43; Shopping; 
19 May 2020 ; Amazon FX Rate £1 = €1.1131 ; 7.18 ;  ;  EUR 7.99 ;  ; 292.86; Shopping; 
19 May 2020 ; Amazon  ; 12.99 ;  ;  ;  ; 300.04; Shopping; 
18 May 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 313.03; Shopping; 
18 May 2020 ; Amazon FX Rate £1 = €1.1131 ; 13.75 ;  ;  EUR 15.30 ;  ; 321.02; Shopping; 
17 May 2020 ; Itunes  ; 13.99 ;  ;  ;  ; 334.77; Shopping; 
17 May 2020 ; Amazon FX Rate £1 = €1.1289 ; 80.76 ;  ;  EUR 91.17 ;  ; 348.76; Shopping; 
17 May 2020 ; Amazon FX Rate £1 = €1.1293 ; 17.38 ;  ;  EUR 19.62 ;  ; 429.52; Shopping; 
