Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
3 Jan 2020 ; Autopista del Sol FX Rate £1 = €1.1639 ; 1.77 ;  ;  EUR 2.05 ;  ; 83.69; Transport; 
3 Jan 2020 ; Autopista del Sol FX Rate £1 = €1.1639 ; 1.77 ;  ;  EUR 2.05 ;  ; 85.46; Transport; 
2 Jan 2020 ; Carniceria Antonio Cer FX Rate £1 = €1.1737 ; 16.29 ;  ;  EUR 19.12 ;  ; 144.89; Groceries; 
2 Jan 2020 ; Restaurante La Ruta FX Rate £1 = €1.1747 ; 33.20 ;  ;  EUR 39.00 ;  ; 161.18; Restaurants; 
2 Jan 2020 ; Gpv Benahavis FX Rate £1 = €1.1757 ; 8.77 ;  ;  EUR 10.30 ;  ; 194.38; Transport; 
2 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1740 ; 5.54 ;  ;  EUR 6.50 ;  ; 203.15; Health; 
2 Jan 2020 ; Herbosalud Y Diet FX Rate £1 = €1.1729 ; 6.43 ;  ;  EUR 7.54 ;  ; 208.69; Health; 
1 Jan 2020 ; Aparcamiento Marques D FX Rate £1 = €1.1709 ; 4.10 ;  ;  EUR 4.80 ;  ; 215.12; Transport; 
31 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1726 ; 11.64 ;  ;  EUR 13.64 ;  ; 219.22; Transport; 
31 Dec 2019 ; Da Bruno a San Pedro FX Rate £1 = €1.1706 ; 66.63 ;  ;  EUR 78.00 ;  ; 230.86; Restaurants; 
31 Dec 2019 ; Amazon FX Rate £1 = €1.1639 ; 36.72 ;  ;  EUR 42.73 ;  ; 297.49; Shopping; 
31 Dec 2019 ; Urban Bistro-Bar FX Rate £1 = €1.1727 ; 38.38 ;  ;  EUR 45.00 ;  ; 334.21; Restaurants; 
31 Dec 2019 ; Floristería Maribel - Carrefour Estepona FX Rate £1 = €1.1639 ; 112.48 ;  ;  EUR 130.91 ;  ; 372.59; Shopping; 
31 Dec 2019 ; Floristería Maribel - Carrefour Estepona FX Rate £1 = €1.1639 ; 8.58 ;  ;  EUR 9.98 ;  ; 485.07; Shopping; 
31 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1641 ; 8.99 ;  ;  EUR 10.46 ;  ; 493.65; Transport; 
31 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1639 ; 5.62 ;  ;  EUR 6.54 ;  ; 502.64; Transport; 
