Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
3 Dec 2019 ; Parking La Vi.a FX Rate £1 = €1.1657 ; 8.28 ;  ;  EUR 9.65 ;  ; 329.21; Transport; 
3 Dec 2019 ; ALDI FX Rate £1 = €1.1657 ; 15.41 ;  ;  EUR 17.96 ;  ; 337.49; Groceries; 
3 Dec 2019 ; Dixie Store FX Rate £1 = €1.1657 ; 60.05 ;  ;  EUR 70.00 ;  ; 352.90; Shopping; 
3 Dec 2019 ; The Spanish Estate Agent FX Rate £1 = €1.1657 ; 8.58 ;  ;  EUR 10.00 ;  ; 412.95; Groceries; 
3 Dec 2019 ; Il Mercato Di Pasta FX Rate £1 = €1.1657 ; 8.15 ;  ;  EUR 9.50 ;  ; 421.53; Restaurants; 
3 Dec 2019 ; Restaurante Sabores FX Rate £1 = €1.1657 ; 24.02 ;  ;  EUR 28.00 ;  ; 429.68; Restaurants; 
3 Dec 2019 ; ALDI FX Rate £1 = €1.1719 ; 77.63 ;  ;  EUR 90.97 ;  ; 453.70; Groceries; 
3 Dec 2019 ; Restaurante Sabores FX Rate £1 = €1.1657 ; 5.15 ;  ;  EUR 6.00 ;  ; 531.33; Restaurants; 
1 Dec 2019 ; Clinica Guadalvit FX Rate £1 = €1.1733 ; 102.28 ;  ;  EUR 120.00 ;  ; 536.48; Health; 
1 Dec 2019 ; Supersol FX Rate £1 = €1.1724 ; 9.88 ;  ;  EUR 11.58 ;  ; 638.76; Groceries; 
1 Dec 2019 ; Mini India Diana - Indian Restaurant Diana FX Rate £1 = €1.1741 ; 40.89 ;  ;  EUR 48.00 ;  ; 648.64; Restaurants; 
1 Dec 2019 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 689.53; Shopping; 
30 Nov 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1744 ; 6.82 ;  ;  EUR 8.00 ;  ; 697.52; Restaurants; 
30 Nov 2019 ; Gpv Benahavis FX Rate £1 = €1.1731 ; 24.04 ;  ;  EUR 28.20 ;  ; 704.34; Transport; 
30 Nov 2019 ; Gpv Benahavis FX Rate £1 = €1.1734 ; 38.57 ;  ;  EUR 45.25 ;  ; 728.38; Transport; 
30 Nov 2019 ; Drug Store Del Rio FX Rate £1 = €1.1746 ; 6.77 ;  ;  EUR 7.95 ;  ; 766.95; Health; 
30 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1739 ; 11.93 ;  ;  EUR 14.00 ;  ; 773.72; Restaurants; 
30 Nov 2019 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 785.65; General; 
29 Nov 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1691 ; 6.85 ;  ;  EUR 8.00 ;  ; 485.65; Restaurants; 
29 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1687 ; 20.54 ;  ;  EUR 24.00 ;  ; 492.50; Restaurants; 
29 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1703 ; 15.38 ;  ;  EUR 18.00 ;  ; 513.04; Restaurants; 
29 Nov 2019 ; Experian Uk  ; 14.99 ;  ;  ;  ; 528.42; General; 
28 Nov 2019 ; Gym junkie FX Rate £1 = €1.1683 ; 17.12 ;  ;  EUR 20.00 ;  ; 543.41; Restaurants; 
28 Nov 2019 ; Chiropractic - Ricardo FX Rate £1 = €1.1673 ; 34.27 ;  ;  EUR 40.00 ;  ; 560.53; Health; 
28 Nov 2019 ; Itunes  ; 9.99 ;  ;  ;  ; 594.80; Shopping; 
