Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
6 Nov 2019 ; Gpv Benahavis FX Rate £1 = €1.1513 ; 15.22 ;  ;  EUR 17.52 ;  ; 231.06; Transport; 
2 Nov 2019 ; DGT FX Rate £1 = €1.1601 ; 48.79 ;  ;  EUR 56.60 ;  ; 289.61; Services; 
2 Nov 2019 ; Taperia Los Primos FX Rate £1 = €1.1621 ; 33.56 ;  ;  EUR 39.00 ;  ; 338.40; Restaurants; 
31 Oct 2019 ; Playa del Cristo Estepona FX Rate £1 = €1.1566 ; 39.40 ;  ;  EUR 45.57 ;  ; 171.96; Transport; 
31 Oct 2019 ; Marina Banus FX Rate £1 = €1.1584 ; 13.80 ;  ;  EUR 15.98 ;  ; 211.36; Shopping; 
31 Oct 2019 ; Organic Market & Foood Marbella FX Rate £1 = €1.1603 ; 68.09 ;  ;  EUR 79.00 ;  ; 225.16; Services; 
31 Oct 2019 ; Audible.co.uk  ; 7.99 ;  ;  ;  ; 293.25; Shopping; 
31 Oct 2019 ; Amazon FX Rate £1 = €1.1513 ; 23.68 ;  ;  EUR 27.26 ;  ; 301.24; Shopping; 
31 Oct 2019 ; Amazon FX Rate £1 = €1.1513 ; 7.81 ;  ;  EUR 8.99 ;  ; 324.92; Shopping; 
30 Oct 2019 ; Experian Uk  ; 14.99 ;  ;  ;  ; 332.73; General; 
29 Oct 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 347.72; General; 
29 Oct 2019 ; Gym junkie FX Rate £1 = €1.1513 ; 30.41 ;  ;  EUR 35.00 ;  ; 147.72; Restaurants; 
29 Oct 2019 ; Gpv Benahavis FX Rate £1 = €1.1513 ; 24.37 ;  ;  EUR 28.05 ;  ; 178.13; Transport; 
29 Oct 2019 ; Itunes  ; 9.99 ;  ;  ;  ; 202.50; Shopping; 
27 Oct 2019 ; Itunes  ; 13.99 ;  ;  ;  ; 212.49; Shopping; 
27 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1550 ; 6.50 ;  ;  EUR 7.50 ;  ; 226.48; Health; 
27 Oct 2019 ; Gym junkie FX Rate £1 = €1.1541 ; 10.40 ;  ;  EUR 12.00 ;  ; 232.98; Restaurants; 
27 Oct 2019 ; Amazon FX Rate £1 = €1.1573 ; 13.82 ;  ;  EUR 15.99 ;  ; 243.38; Shopping; 
25 Oct 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1583 ; 12.95 ;  ;  EUR 15.00 ;  ; 257.20; Restaurants; 
25 Oct 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 270.15; General; 
25 Oct 2019 ; Firstedition Sl FX Rate £1 = €1.1580 ; 30.23 ;  ;  EUR 35.00 ;  ; 70.15; Restaurants; 
25 Oct 2019 ; Whats Cooking FX Rate £1 = €1.1575 ; 20.57 ;  ;  EUR 23.80 ;  ; 100.38; Restaurants; 
25 Oct 2019 ; Uber FX Rate £1 = €1.1596 ; 18.58 ;  ;  EUR 21.54 ;  ; 120.95; Transport; 
24 Oct 2019 ; Farmacia Guadalmina 12 H. FX Rate £1 = €1.1569 ; 12.19 ;  ;  EUR 14.10 ;  ; 139.53; Health; 
24 Oct 2019 ; Triay Medic FX Rate £1 = €1.1575 ; 95.04 ;  ;  EUR 110.00 ;  ; 151.72; Health; 
24 Oct 2019 ; Gym junkie FX Rate £1 = €1.1587 ; 5.18 ;  ;  EUR 6.00 ;  ; 246.76; Restaurants; 
23 Oct 2019 ; Gym junkie FX Rate £1 = €1.1617 ; 25.83 ;  ;  EUR 30.00 ;  ; 251.94; Restaurants; 
23 Oct 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 277.77; General; 
23 Oct 2019 ; Gym junkie FX Rate £1 = €1.1625 ; 14.71 ;  ;  EUR 17.10 ;  ; 177.77; Restaurants; 
23 Oct 2019 ; Gym junkie FX Rate £1 = €1.1456 ; 71.58 ;  ;  EUR 82.00 ;  ; 192.48; Restaurants; 
22 Oct 2019 ; Breathe Marbella - Restaurant Gastrobar & Garden FX Rate £1 = €1.1468 ; 36.63 ;  ;  EUR 42.00 ;  ; 264.06; Restaurants; 
22 Oct 2019 ; Braseria Freiduria FX Rate £1 = €1.1439 ; 107.53 ;  ;  EUR 123.00 ;  ; 300.69; Restaurants; 
20 Oct 2019 ; Itunes  ; 0.79 ;  ;  ;  ; 408.22; Shopping; 
20 Oct 2019 ; Itunes  ; 13.99 ;  ;  ;  ; 409.01; Shopping; 
20 Oct 2019 ; Cash at Bancosabadell    17464 FX Rate £1 = €1.1573 ; 87.96 ;  ;  EUR 101.80 ;  ; 423.00; Cash; 
20 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1577 ; 6.48 ;  ;  EUR 7.50 ;  ; 510.96; Health; 
20 Oct 2019 ; Gpv Benahavis FX Rate £1 = €1.1544 ; 9.58 ;  ;  EUR 11.05 ;  ; 517.44; Transport; 
20 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1577 ; 1.30 ;  ;  EUR 1.50 ;  ; 527.02; Health; 
20 Oct 2019 ; Gym junkie FX Rate £1 = €1.1558 ; 12.98 ;  ;  EUR 15.00 ;  ; 528.32; Restaurants; 
19 Oct 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 541.30; General; 
19 Oct 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 441.30; General; 
19 Oct 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1616 ; 20.67 ;  ;  EUR 24.00 ;  ; 241.30; Restaurants; 
19 Oct 2019 ; Da Bruno a San Pedro FX Rate £1 = €1.1548 ; 78.80 ;  ;  EUR 91.00 ;  ; 261.97; Restaurants; 
19 Oct 2019 ; Firstedition Sl FX Rate £1 = €1.1604 ; 18.96 ;  ;  EUR 22.00 ;  ; 340.77; Restaurants; 
18 Oct 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 359.73; General; 
18 Oct 2019 ; Gym junkie FX Rate £1 = €1.1587 ; 7.77 ;  ;  EUR 9.00 ;  ; 159.73; Restaurants; 
18 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1544 ; 6.50 ;  ;  EUR 7.50 ;  ; 167.50; Health; 
18 Oct 2019 ; Gym junkie FX Rate £1 = €1.1545 ; 12.13 ;  ;  EUR 14.00 ;  ; 174.00; Restaurants; 
18 Oct 2019 ; Gym junkie FX Rate £1 = €1.1486 ; 7.84 ;  ;  EUR 9.00 ;  ; 186.13; Restaurants; 
17 Oct 2019 ; Gym junkie FX Rate £1 = €1.1368 ; 14.08 ;  ;  EUR 16.00 ;  ; 193.97; Restaurants; 
17 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1379 ; 5.28 ;  ;  EUR 6.00 ;  ; 208.05; Health; 
17 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1409 ; 87.65 ;  ;  EUR 100.00 ;  ; 213.33; Health; 
17 Oct 2019 ; Audible.co.uk  ; 25.69 ;  ;  ;  ; 300.98; Shopping; 
17 Oct 2019 ; Fastspring Bv FX Rate £1 = €1.1380 ; 14.06 ;  ;  EUR 15.99 ;  ; 326.67; Utilities; 
17 Oct 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 340.73; General; 
16 Oct 2019 ; Amazon FX Rate £1 = €1.1395 ; 61.42 ;  ;  EUR 69.99 ;  ; 240.73; Shopping; 
15 Oct 2019 ; Gym junkie FX Rate £1 = €1.1398 ; 27.20 ;  ;  EUR 31.00 ;  ; 302.15; Restaurants; 
15 Oct 2019 ; Organic With Love (OWL) FX Rate £1 = €1.1395 ; 43.88 ;  ;  EUR 50.00 ;  ; 329.35; Shopping; 
15 Oct 2019 ; ALDI FX Rate £1 = €1.1395 ; 20.49 ;  ;  EUR 23.34 ;  ; 373.23; Groceries; 
13 Oct 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 393.72; General; 
13 Oct 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 293.72; General; 
13 Oct 2019 ; Gym junkie FX Rate £1 = €1.1384 ; 15.82 ;  ;  EUR 18.00 ;  ; 193.72; Restaurants; 
12 Oct 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 209.54; General; 
11 Oct 2019 ; Conrados Cafe Vialia FX Rate £1 = €1.1127 ; 1.35 ;  ;  EUR 1.50 ;  ; 109.54; Restaurants; 
11 Oct 2019 ; Firstedition Sl FX Rate £1 = €1.1105 ; 28.82 ;  ;  EUR 32.00 ;  ; 110.89; Restaurants; 
11 Oct 2019 ; Estacion Autobuses Malaga FX Rate £1 = €1.1127 ; 1.35 ;  ;  EUR 1.50 ;  ; 139.71; Transport; 
10 Oct 2019 ; Carniceria Antonio Cer FX Rate £1 = €1.1151 ; 8.44 ;  ;  EUR 9.41 ;  ; 141.06; Groceries; 
10 Oct 2019 ; Cafeterias Granier  ; 9.60 ;  ;  ;  ; 149.50; Restaurants; 
10 Oct 2019 ; Gym junkie FX Rate £1 = €1.1126 ; 5.40 ;  ;  EUR 6.00 ;  ; 159.10; Restaurants; 
10 Oct 2019 ; Supersol FX Rate £1 = €1.1130 ; 20.53 ;  ;  EUR 22.85 ;  ; 164.50; Groceries; 
10 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1131 ; 6.74 ;  ;  EUR 7.50 ;  ; 185.03; Health; 
10 Oct 2019 ; Pescaderia Ana Mari FX Rate £1 = €1.1165 ; 6.29 ;  ;  EUR 7.02 ;  ; 191.77; Groceries; 
10 Oct 2019 ; Fruteria Mercado San P FX Rate £1 = €1.1155 ; 17.67 ;  ;  EUR 19.70 ;  ; 198.06; Groceries; 
9 Oct 2019 ; Top-Up by *8018  ;  ; 70.00 ;  ;  ; 215.73; General; 
9 Oct 2019 ; Mundo Manía FX Rate £1 = €1.1128 ; 5.40 ;  ;  EUR 6.00 ;  ; 145.73; Shopping; 
9 Oct 2019 ; Amazon FX Rate £1 = €1.1208 ; 12.44 ;  ;  EUR 13.94 ;  ; 151.13; Shopping; 
9 Oct 2019 ; Eine hop on hop off-Tour durch Berlin mit den BBS-Cabrio-Bussen FX Rate £1 = €1.1188 ; 66.14 ;  ;  EUR 74.00 ;  ; 163.57; Travel; 
9 Oct 2019 ; Supersol FX Rate £1 = €1.1226 ; 45.69 ;  ;  EUR 51.29 ;  ; 229.71; Groceries; 
9 Oct 2019 ; Premium plan fee  ; 72.00 ;  ;  ;  ; 275.40; General; 
8 Oct 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 347.40; General; 
8 Oct 2019 ; Gpv Benahavis FX Rate £1 = €1.1174 ; 8.59 ;  ;  EUR 9.59 ;  ; 147.40; Transport; 
7 Oct 2019 ; Amazon FX Rate £1 = €1.1175 ; 12.48 ;  ;  EUR 13.94 ;  ; 155.99; Shopping; 
7 Oct 2019 ; Foodisiac Sl. FX Rate £1 = €1.1174 ; 102.92 ;  ;  EUR 115.00 ;  ; 168.47; Restaurants; 
7 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1175 ; 5.37 ;  ;  EUR 6.00 ;  ; 271.39; Health; 
6 Oct 2019 ; Supersol FX Rate £1 = €1.1225 ; 42.81 ;  ;  EUR 48.05 ;  ; 332.59; Groceries; 
6 Oct 2019 ; Supersol FX Rate £1 = €1.1231 ; 38.94 ;  ;  EUR 43.73 ;  ; 375.40; Groceries; 
6 Oct 2019 ; Amazon FX Rate £1 = €1.1257 ; 23.78 ;  ;  EUR 26.76 ;  ; 414.34; Shopping; 
6 Oct 2019 ; Organic With Love (OWL) FX Rate £1 = €1.1226 ; 42.94 ;  ;  EUR 48.20 ;  ; 438.12; Shopping; 
6 Oct 2019 ; Funky Forest Kids Club FX Rate £1 = €1.1223 ; 9.36 ;  ;  EUR 10.50 ;  ; 481.06; Shopping; 
6 Oct 2019 ; Whats Cooking FX Rate £1 = €1.1228 ; 33.40 ;  ;  EUR 37.50 ;  ; 490.42; Restaurants; 
6 Oct 2019 ; Gym junkie FX Rate £1 = €1.1232 ; 17.63 ;  ;  EUR 19.80 ;  ; 523.82; Restaurants; 
6 Oct 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 541.45; General; 
6 Oct 2019 ; Gym junkie FX Rate £1 = €1.1210 ; 44.60 ;  ;  EUR 50.00 ;  ; 341.45; Restaurants; 
5 Oct 2019 ; Gym junkie FX Rate £1 = €1.1214 ; 16.06 ;  ;  EUR 18.00 ;  ; 386.05; Restaurants; 
5 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1230 ; 6.68 ;  ;  EUR 7.50 ;  ; 402.11; Health; 
4 Oct 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 408.79; General; 
4 Oct 2019 ; Cabana FX Rate £1 = €1.1248 ; 62.24 ;  ;  EUR 70.00 ;  ; 308.79; Restaurants; 
4 Oct 2019 ; Gym junkie FX Rate £1 = €1.1269 ; 21.30 ;  ;  EUR 24.00 ;  ; 371.03; Restaurants; 
