Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
6 Oct 2019 ; Bf*harrods FX Rate £1 = €1.1171 ; 55.83 ;  ;  EUR 62.37 ;  ; 276.76; Shopping; 
3 Oct 2019 ; Gpv Benahavis FX Rate £1 = €1.1286 ; 4.12 ;  ;  EUR 4.64 ;  ; 192.33; Transport; 
3 Oct 2019 ; Amazon FX Rate £1 = €1.1270 ; 7.98 ;  ;  EUR 8.99 ;  ; 196.45; Shopping; 
3 Oct 2019 ; Gym junkie FX Rate £1 = €1.1289 ; 21.26 ;  ;  EUR 24.00 ;  ; 204.43; Restaurants; 
3 Oct 2019 ; Reebok Hybrid FX Rate £1 = €1.1268 ; 6.66 ;  ;  EUR 7.50 ;  ; 225.69; Health; 
2 Oct 2019 ; Gpv Benahavis FX Rate £1 = €1.1171 ; 53.23 ;  ;  EUR 59.46 ;  ; 232.35; Transport; 
2 Oct 2019 ; Audible.co.uk  ; 7.99 ;  ;  ;  ; 285.58; Shopping; 
2 Oct 2019 ; M13 GYM FX Rate £1 = €1.1264 ; 1.78 ;  ;  EUR 2.00 ;  ; 293.57; Health; 
2 Oct 2019 ; ALDI FX Rate £1 = €1.1243 ; 10.46 ;  ;  EUR 11.76 ;  ; 295.35; Groceries; 
2 Oct 2019 ; Itunes  ; 5.99 ;  ;  ;  ; 305.81; Shopping; 
2 Oct 2019 ; Organic With Love (OWL) FX Rate £1 = €1.1171 ; 51.92 ;  ;  EUR 58.00 ;  ; 311.80; Shopping; 
29 Sep 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 363.72; General; 
29 Sep 2019 ; Firstedition Sl FX Rate £1 = €1.1266 ; 31.07 ;  ;  EUR 35.00 ;  ; 163.72; Restaurants; 
28 Sep 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 194.79; General; 
28 Sep 2019 ; Experian Uk  ; 14.99 ;  ;  ;  ; 94.79; General; 
27 Sep 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1288 ; 7.98 ;  ;  EUR 9.00 ;  ; 109.78; Restaurants; 
27 Sep 2019 ; Firstedition Sl FX Rate £1 = €1.1286 ; 33.67 ;  ;  EUR 38.00 ;  ; 117.76; Restaurants; 
27 Sep 2019 ; Itunes  ; 9.99 ;  ;  ;  ; 151.43; Shopping; 
26 Sep 2019 ; Itunes  ; 13.99 ;  ;  ;  ; 161.42; Shopping; 
26 Sep 2019 ; Itunes  ; 9.99 ;  ;  ;  ; 175.41; Shopping; 
26 Sep 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 185.40; General; 
26 Sep 2019 ; Mercadona Benahavis FX Rate £1 = €1.1272 ; 12.28 ;  ;  EUR 13.84 ;  ; 85.40; Groceries; 
26 Sep 2019 ; Gym junkie FX Rate £1 = €1.1281 ; 17.73 ;  ;  EUR 20.00 ;  ; 97.68; Restaurants; 
26 Sep 2019 ; Mundo Manía FX Rate £1 = €1.1296 ; 5.32 ;  ;  EUR 6.00 ;  ; 115.41; Shopping; 
26 Sep 2019 ; Gym junkie FX Rate £1 = €1.1333 ; 1.64 ;  ;  EUR 1.85 ;  ; 120.73; Restaurants; 
26 Sep 2019 ; Amzn Mktp Es Amazon.es FX Rate £1 = €1.1313 ; 7.95 ;  ;  EUR 8.99 ;  ; 122.37; Shopping; 
26 Sep 2019 ; Aparcamiento Marques D FX Rate £1 = €1.1283 ; 6.92 ;  ;  EUR 7.80 ;  ; 130.32; Transport; 
26 Sep 2019 ; ALDI FX Rate £1 = €1.1340 ; 46.04 ;  ;  EUR 52.21 ;  ; 137.24; Groceries; 
25 Sep 2019 ; Rocio De Salud FX Rate £1 = €1.1298 ; 10.63 ;  ;  EUR 12.00 ;  ; 183.28; Health; 
25 Sep 2019 ; Carniceria Antonio Cer FX Rate £1 = €1.1309 ; 8.36 ;  ;  EUR 9.45 ;  ; 193.91; Groceries; 
25 Sep 2019 ; Gpv Benahavis FX Rate £1 = €1.1299 ; 0.89 ;  ;  EUR 1.00 ;  ; 202.27; Transport; 
25 Sep 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 203.16; General; 
25 Sep 2019 ; Reebok Hybrid FX Rate £1 = €1.1332 ; 5.30 ;  ;  EUR 6.00 ;  ; 103.16; Health; 
25 Sep 2019 ; Fruteria Mercado San P FX Rate £1 = €1.1316 ; 20.33 ;  ;  EUR 23.00 ;  ; 108.46; Groceries; 
25 Sep 2019 ; El Corte Ingles Marbel FX Rate £1 = €1.1335 ; 4.37 ;  ;  EUR 4.95 ;  ; 128.79; Shopping; 
25 Sep 2019 ; El Corte Ingles Marbel FX Rate £1 = €1.1318 ; 16.39 ;  ;  EUR 18.55 ;  ; 133.16; Shopping; 
25 Sep 2019 ; La Casa de Enka - Malagadevacaciones FX Rate £1 = €1.1313 ; 68.95 ;  ;  EUR 78.00 ;  ; 149.55; Restaurants; 
25 Sep 2019 ; El Corte Ingles Marbel FX Rate £1 = €1.1315 ; 25.99 ;  ;  EUR 29.40 ;  ; 218.50; Shopping; 
25 Sep 2019 ; Gpv Benahavis FX Rate £1 = €1.1302 ; 46.30 ;  ;  EUR 52.32 ;  ; 244.49; Transport; 
24 Sep 2019 ; Sushi Taxi FX Rate £1 = €1.1253 ; 30.22 ;  ;  EUR 34.00 ;  ; 290.79; Restaurants; 
24 Sep 2019 ; Gpv Benahavis FX Rate £1 = €1.1253 ; 5.91 ;  ;  EUR 6.64 ;  ; 321.01; Transport; 
24 Sep 2019 ; Singh Brother FX Rate £1 = €1.1253 ; 54.21 ;  ;  EUR 61.00 ;  ; 326.92; Restaurants; 
24 Sep 2019 ; Amazon FX Rate £1 = €1.1253 ; 32.32 ;  ;  EUR 36.36 ;  ; 381.13; Shopping; 
24 Sep 2019 ; Gym junkie FX Rate £1 = €1.1253 ; 5.34 ;  ;  EUR 6.00 ;  ; 413.45; Restaurants; 
23 Sep 2019 ; Organic Route Shop FX Rate £1 = €1.1253 ; 39.82 ;  ;  EUR 44.80 ;  ; 418.79; Groceries; 
23 Sep 2019 ; Gym junkie FX Rate £1 = €1.1253 ; 53.32 ;  ;  EUR 60.00 ;  ; 458.61; Restaurants; 
23 Sep 2019 ; Rachel´s Eco Love FX Rate £1 = €1.1253 ; 51.01 ;  ;  EUR 57.40 ;  ; 511.93; Restaurants; 
23 Sep 2019 ; Exchange GBP to  FX Rate £1 = €1.1318 ; 10,602.39 ;  ;  GBP 10,602.39 ;  ; 562.94; General; 
23 Sep 2019 ; Payment from A Rose  ;  ; 10,600.00 ;  ;  ; 11,165.33; General; REVOLUT
